customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
7590-VHVEG;F;0;Y;0;1;No;No phone service;DSL;No;Yes;No;No;No;No;1;Yes;Electronic check;29.85;29.85;No
5575-GNVDE;M;0;N;0;34;Yes;No;DSL;Yes;No;Yes;No;No;No;2;No;Mailed check;56.95;1889.5;No
3668-QPYBK;M;0;N;0;2;Yes;No;DSL;Yes;Yes;No;No;No;No;1;Yes;Mailed check;53.85;108.15;Yes
7795-CFOCW;M;0;N;0;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;2;No;Bank transfer (automatic);42.3;1840.75;No
9237-HQITU;F;0;N;0;2;Yes;No;Fiber optic;No;No;No;No;No;No;1;Yes;Electronic check;70.7;151.65;Yes
9305-CDSKC;F;0;N;0;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;1;Yes;Electronic check;99.65;820.5;Yes
1452-KIOVK;M;0;N;1;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;1;Yes;Credit card (automatic);89.1;1949.4;No
6713-OKOMC;F;0;N;0;10;No;No phone service;DSL;Yes;No;No;No;No;No;1;No;Mailed check;29.75;301.9;No
7892-POOKP;F;0;Y;0;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;1;Yes;Electronic check;104.8;3046.05;Yes
6388-TABGU;M;0;N;1;62;Yes;No;DSL;Yes;Yes;No;No;No;No;2;No;Bank transfer (automatic);56.15;3487.95;No
9763-GRSKD;M;0;Y;1;13;Yes;No;DSL;Yes;No;No;No;No;No;1;Yes;Mailed check;49.95;587.45;No
7469-LKBCI;M;0;N;0;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;3;No;Credit card (automatic);18.95;326.8;No
8091-TTVAX;M;0;Y;0;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;2;No;Credit card (automatic);100.35;5681.1;No
0280-XJGEX;M;0;N;0;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;1;Yes;Bank transfer (automatic);103.7;5036.3;Yes
5129-JLPIS;M;0;N;0;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;1;Yes;Electronic check;105.5;2686.05;No
3655-SNQYZ;F;0;Y;1;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;3;No;Credit card (automatic);113.25;7895.15;No
8191-XWSZG;F;0;N;0;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;No;Mailed check;20.65;1022.95;No
9959-WOFKT;M;0;N;1;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;3;No;Bank transfer (automatic);106.7;7382.25;No
4190-MFLUW;F;0;Y;1;10;Yes;No;DSL;No;No;Yes;Yes;No;No;1;No;Credit card (automatic);55.2;528.35;Yes
4183-MYFRB;F;0;N;0;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;1;Yes;Electronic check;90.05;1862.9;No
8779-QRDMV;M;1;N;0;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;1;Yes;Electronic check;39.65;39.65;Yes
1680-VDCWW;M;0;Y;0;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;2;No;Bank transfer (automatic);19.8;202.25;No
1066-JKSGK;M;0;N;0;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Mailed check;20.15;20.15;Yes
3638-WEABW;F;0;Y;0;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;3;Yes;Credit card (automatic);59.9;3505.1;No
6322-HRPFA;M;0;Y;1;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;1;No;Credit card (automatic);59.6;2970.3;No
6865-JZNKO;F;0;N;0;30;Yes;No;DSL;Yes;Yes;No;No;No;No;1;Yes;Bank transfer (automatic);55.3;1530.6;No
6467-CHFZW;M;0;Y;1;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;1;Yes;Electronic check;99.35;4749.15;Yes
8665-UTDHZ;M;0;Y;1;1;No;No phone service;DSL;No;Yes;No;No;No;No;1;No;Electronic check;30.2;30.2;Yes
5248-YGIJN;M;0;Y;0;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;3;Yes;Credit card (automatic);90.25;6369.45;No
8773-HHUOZ;F;0;N;1;17;Yes;No;DSL;No;No;No;No;Yes;Yes;1;Yes;Mailed check;64.7;1093.1;Yes
3841-NFECX;F;1;Y;0;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;3;Yes;Credit card (automatic);96.35;6766.95;No
4929-XIHVW;M;1;Y;0;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;1;Yes;Credit card (automatic);95.5;181.65;No
6827-IEAUQ;F;0;Y;1;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;2;No;Mailed check;66.15;1874.45;No
7310-EGVHZ;M;0;N;0;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;1;No;Bank transfer (automatic);20.2;20.2;No
3413-BMNZE;M;1;N;0;1;Yes;No;DSL;No;No;No;No;No;No;1;No;Bank transfer (automatic);45.25;45.25;No
